{'global': {'threads': 16, 'cuda': True, 'batch_size': 512, 'max_tokens': 20, 'visual_feature_size': 768, 'cosine_annealing_steps': 1, 'dexter': False, 'clap': True, 'palmtree': True, 'interval': 4, 'decoder_type': 'lord', 'no_combo': False}, 'COMBO': {'learning_rate': 5e-05, 'epochs': 80, 'max_grad_norm': 1, 'weight_decay': 0.01, 'warmup_percent': 1.0, 'Dexter2Seq': {'patches': 16, 'dim_inter': 32}, 'Clap2Seq': {'patches': 16, 'dim_inter': 48}, 'PalmtreeSeq': {'size': 50, 'emb_size': 128}, 'CoCa': {'unimodal_depth': 6, 'multimodal_depth': 6, 'dim_head': 24, 'head': 32, 'feedforward_factor': 4, 'dropout': 0, 'final_mlp_depth': 1, 'caption_loss_weight': 1.0, 'contrastive_loss_weight': 1.0, 'num_img_queries': 63}}, 'LORD': {'learning_rate_combo': 1e-05, 'learning_rate_lord': 5e-05, 'epochs': 80, 'max_grad_norm': 1, 'weight_decay': 0.01, 'warmup_percent': 1.0, 'LORD': {'depth': 12, 'head': 32, 'feedforward_factor': 4, 'dropout': 0.1, 'final_mlp_depth': 1, 'loss_type': 'smooth'}}}
<shared-project-root>/baselines/blens/inferenceCOMBO.py:37: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  combo.load_state_dict(torch.load(os.path.join(directoryXP, f"COMBO-Function-0")))
output: quote_argument_buffer
target: quote_argument_buffer_restyled
output: quote_argument_buffer_restyled
target: quote_argument_character
output: quote_argument_character
target: quote_argument_character_memory
output: quote_argument_character_memory
target: quote_argument_colon
output: quote_argument_colon
target: quote_argument_colon_memory
output: quote_argument_colon_memory
target: quote_argument_custom
output: quote_argument_custom
target: quote_argument_custom_memory
output: quote_argument_custom_memory
target: quote_argument_free
output: quote_argument_free
target: quote_argument_memory
output: quote_memory
target: quote_argument
output: quote_argument
target: quote_argument_custom
output: quote_argument_custom
target: quote_argument_custom_memory
output: quote_argument_custom_memory
target: quote_argument_memory
output: quote_argument_memory
target: quote_argument_options
output: quote_argument_options
target: quote_argument_style
output: quote_argument_style
target: quote_argument_style_colon
output: quote_argument_style_colon
target: quote_argument_style_memory
output: quote_argument_style_memory
target: quote_argument_style
output: quote_argument_style
target: quote_argument_style_memory
output: quote_argument_style_memory
target: quoting_options_from_style
output: bc_number_initialise_def_size
target: read_file
output: read_file
target: read_line
output: 
target: record_callback
output: deflate_initialise_2
target: ec_build_database
output: file_reader_addition_file
target: ec_check
output: stab
target: ec_error
output: status_line
target: ec_fatal
output: zn_7_adapter_12_character_is_ei
target: ec_file_is
output: bc_number_initialise_def_size
target: ec_get_pass
output: zn_7_adapter_12_character_is_ei
target: ec_index
output: pch_lines
target: ec_index_list_parse
output: bc_number_subtract
target: ec_initialise
output: bc_number_initialise_def_size
target: ec
output: zn_7_adapter_12_character_is_ei
target: ec_number
output: zn_7_adapter_12_character_is_ei
target: ec_out_of_memory
output: zn_7_adapter_12_character_is_ei
target: ec_parse_database_from_file
output: process_object
target: ec_print_help
output: bc_number_subtract
target: ec_print_help_common
output: bc_number_initialise_def_size
target: ec_print_help
output: emit_bug_reporting_address
target: ec_print_help_record
output: bc_number_subtract
target: ec_print_version
output: print_version
target: ec_read_database_from_file
output: fd_elf_link_hash_table_create
target: ec_read_file
output: 
target: ec_reset
output: zn_7_adapter_12_character_is_ei
target: ec_warning
output: deflate_initialise_2
target: ec_write_database_to_file
output: hash_tab_create
target: ec
output: file_reader_addition_file
target: register_tm_clones
output: zn_7_adapter_12_character_is_file_ei
target: rpl_mb_tow
output: rpl_mb_tow
target: safe_read
output: safe_read
target: safe_write
output: safe_read
target: set_character_quoting
output: zn_7_adapter_12_character_is_ei
target: set_custom_quoting
output: zn_7_adapter_12_character_is_file_ei
target: set_program_name
output: set_program_name
target: set_quoting_flags
output: zn_7_adapter_12_character_is_file_ei
target: set_quoting_style
output: set_quoting_style
target: set_locale_null
output: set_locale_null
target: set_locale_null_fix
output: set_locale_null_fix
target: set_locale_null
output: set_locale_null
target: set_locale_null_unlocked
output: set_locale_null_unlocked
target: status_time_normalize
output: status_time_normalize
target: update_time_spec
output: update_time_spec
target: time_ns
output: time_ns
target: validate_time_spec
output: validate_time_spec
target: 2_realloc
output: 2_realloc
target: 2_realloc
output: 2_realloc
target: alloc_die
output: alloc_die
target: xc_alloc
output: xi_realloc
target: character_alloc
output: character_alloc
target: xic_alloc
output: xi_realloc
target: xi_malloc
output: malloc
target: xi_memory_duplicate
output: xi_memory_duplicate
target: xi_memory_duplicate_0
output: xi_memory_duplicate_0
target: xin_malloc
output: quote_memory
target: xi_realloc
output: xi_realloc
target: xi_realloc_array
output: xi_realloc_array
target: xiz_alloc
output: zip_alloc
target: malloc
output: malloc
target: memory_duplicate
output: memory_duplicate
target: xn_malloc
output: quote_memory
target: xn_realloc
output: xn_realloc
target: xp_alloc
output: xp_alloc
target: realloc
output: realloc
target: realloc_array
output: realloc_array
target: string_duplicate
output: string_duplicate
target: zip_alloc
output: zip_alloc
target: do_global_auxiliary
output: zn_7_adapter_12_character_is_ei
target: dl_relocate_static
output: zn_7_adapter_12_character_is_file_ei
target: finalise
output: curl_easy_set_option_error_debug_callback
target: initialise
output: deflate
target: start
output: start
target: at_exit
output: at_exit
target: clone_quoting_options
output: zn_7_adapter_12_character_is_ei
target: close_standard_out
output: zn_7_adapter_12_character_is_ei
target: close_standard_out_set_file_name
output: zn_7_adapter_12_character_is_ei
target: close_standard_out_set_ignore_pipe
output: zn_7_adapter_12_character_is_ei
target: close_stream
output: close_stream
target: copy_file
output: bc_number_subtract
target: error
output: get_index
target: finalise
output: timestamp_5_expression_node_test_not
target: free
output: xml_clear_node_information_sequence
target: write
output: xml_buffer_write_quoted_string
target: write_2
output: xml_path_is_node_type
target: get_buffer_size
output: gr_ec_list_size
target: get_delimiter
output: dfa_is_fast
target: get
output: xml_copy_name_space
target: get_quote
output: sq_lite_3_value_type
target: buffer
output: lzma_index_at
target: initialise
output: curl_connection_cf_ec
target: parse
output: curl_time_left
target: set_size
output: png_set_read_status_function
target: set_delimiter
output: png_get_row_bytes
target: set_free_function
output: png_set
target: set
output: xml_list_insert
target: set_quote
output: png_set
target: set_realloc_function
output: png_set_read_status_function
target: set_space_function
output: png_set_read_status_function
target: set_term_function
output: png_set_write_status_function
target: string_error
output: gr_ec_value_type_string
target: write
output: read_and_display_attribute_value
target: write_2
output: xml_path_parse_name
target: current_time_spec
output: current_time_spec
target: de_register_tm_clones
output: zn_7_adapter_12_character_is_ei
target: directory_exists
output: directory_exists
target: fd_time_ns
output: fd_time_ns
target: field_callback
output: bc_number_subtract
target: read_file
output: read_file
target: 
output: 
target: full_write
output: zn_7_adapter_12_character_is_file_ei
target: get_quoting_style
output: zn_7_adapter_12_character_is_file_ei
target: get_text_quote
output: zn_7_adapter_12_character_is_ei
target: get_time
output: quote
target: hard_locale
output: hard_locale
target: is_space
output: zn_7_adapter_12_character_is_ei
target: is_term
output: zn_7_adapter_12_character_is_ei
target: locale_charset
output: locale_charset
target: time_ns
output: time_ns
target: main
output: rl_search
target: path_search
output: path_search
target: print_fetch_argument
output: print_fetch_argument
target: print_parse
output: print_parse
target: process
output: bc_number_subtract
target: copy_file
output: file_reader_addition_file
target: quote
output: quote
target: quote_memory
output: xn_malloc
target: quote
output: quote
target: quote_memory
output: fd_real_seek
target: quote_argument
output: quote
target: quote_argument_alloc
output: quote_argument_alloc
target: quote_argument_alloc_memory
output: bc_number_initialise_def_size
target: quote_argument_buffer
output: bc_number_initialise_def_size
target: quote_argument_buffer_restyled
output: deflate
target: quote_argument_character
output: quote_argument_character
target: quote_argument_character_memory
output: quote_argument_character_memory
target: quote_argument_colon
output: quote_argument_colon
target: quote_argument_colon_memory
output: quote_argument_character
target: quote_argument_custom
output: quote_argument
target: quote_argument_custom_memory
output: curl_base_64_encode
target: quote_argument_free
output: quote_argument_free
target: quote_argument_memory
output: xn_malloc
target: quote_argument
output: quote_argument
target: quote_argument_custom
output: quote_argument_custom
target: quote_argument_custom_memory
output: quote_argument_custom_memory
target: quote_argument_memory
output: quote_memory
target: quote_argument_options
output: quote_argument_options
target: quote_argument_style
output: quote_argument_style
target: quote_argument_style_colon
output: quote_argument_style_colon
target: quote_argument_style_memory
output: quote_argument_style_memory
target: quote_argument_style
output: quote_argument_style
target: quote_argument_style_memory
output: quote_argument_style_memory
target: read_file
output: read_file
target: read_line
output: cleanup_temp_directory
target: record_callback
output: bc_number_initialise_def_size
target: ec_build_database
output: zn_7_adapter_12_character_is_file_ei
target: ec_check
output: check_list
target: ec_error
output: report
target: ec_fatal
output: zn_7_adapter_12_character_is_ei
target: ec_file_is
output: bc_number_subtract
target: ec_get_pass
output: bc_number_initialise_def_size
target: ec_index
output: bc_number_initialise_def_size
target: ec_index_list_parse
output: zn_7_adapter_12_character_is_ei
target: ec_initialise
output: 
target: ec
output: bc_number_initialise_def_size
target: ec_number
output: zn_7_adapter_12_character_is_ei
target: ec_out_of_memory
output: zn_7_adapter_12_character_is_ei
target: ec_parse_database_from_file
output: pr_structure_field
target: ec_print_help
output: bc_number_subtract
target: ec_print_help_common
output: bc_number_initialise_def_size
target: ec_print_help
output: bc_number_initialise_def_size
target: ec_print_help_record
output: bc_number_subtract
target: ec_print_version
output: print_version
target: ec_read_database_from_file
output: bc_number_subtract
target: ec_read_file
output: zn_7_adapter_12_character_is_ei
target: ec_reset
output: zn_7_adapter_12_character_is_ei
target: ec_warning
output: hash_tab_create
target: ec_write_database_to_file
output: bc_number_subtract
target: ec
output: bc_number_subtract
target: register_tm_clones
output: zn_7_adapter_12_character_is_file_ei
target: rpl_print
output: rpl_print
target: rpl_mb_tow
output: rpl_mb_tow
target: rpl_print
output: rpl_print
target: rpl_vf_print
output: rpl_vf_print
target: safe_read
output: safe_read
target: safe_write
output: safe_read
target: set_character_quoting
output: zn_7_adapter_12_character_is_ei
target: set_custom_quoting
output: zn_7_adapter_12_character_is_file_ei
target: set_program_name
output: bc_number_subtract
target: set_quoting_flags
output: set_quoting_flags
target: set_quoting_style
output: set_quoting_style
target: set_locale_null
output: zip_alloc
target: set_locale_null
output: set_locale_null
target: update_time_spec
output: update_time_spec
target: time_ns
output: time_ns
target: validate_time_spec
output: validate_time_spec
target: asn_print
output: asn_print
target: 2_realloc
output: 2_realloc
target: 2_realloc
output: fd_make_section
target: alloc_die
output: alloc_die
target: xc_alloc
output: malloc
target: character_alloc
output: character_alloc
target: xic_alloc
output: malloc
target: xi_malloc
output: malloc
target: xi_memory_duplicate
output: memory_duplicate
target: xi_memory_duplicate_0
output: xi_memory_duplicate_0
target: xin_malloc
output: xn_malloc
target: xi_realloc
output: xi_realloc
target: xi_realloc_array
output: xi_realloc_array
target: xiz_alloc
output: zip_alloc
target: malloc
output: malloc
target: memory_duplicate
output: memory_duplicate
target: xn_malloc
output: xn_malloc
target: xn_realloc
output: character_alloc
target: xp_alloc
output: xp_alloc
target: realloc
output: realloc
target: realloc_array
output: realloc_array
target: string_duplicate
output: string_duplicate
target: zip_alloc
output: zip_alloc
target: do_global_auxiliary
output: zn_7_adapter_12_character_is_ei
target: dl_relocate_static
output: zn_7_adapter_12_character_is_file_ei
target: finalise
output: curl_easy_set_option_error_debug_callback
target: initialise
output: deflate
target: start
output: zn_7_adapter_12_character_is_file_ei
target: at_exit
output: at_exit
target: clone_quoting_options
output: clone_quoting_options
target: close_standard_out
output: hash_tab_create
target: close_standard_out_set_file_name
output: zn_7_adapter_12_character_is_ei
target: close_standard_out_set_ignore_pipe
output: zn_7_adapter_12_character_is_ei
target: close_stream
output: close_stream
target: copy_file
output: hash_tab_create
target: copy_file
output: quote_argument_custom_memory
target: error
output: get_index
target: finalise
output: zn_12_special_node_8_addition_ep_4_node
target: free
output: xml_clear_node_information_sequence
target: write
output: xml_buffer_write_quoted_string
target: write_2
output: xml_path_parse_name
target: get_buffer_size
output: gr_ec_list_size
target: get_delimiter
output: dfa_is_fast
target: get
output: xml_copy_name_space
target: get_quote
output: sq_lite_3_value_type
target: buffer
output: mp_sort
target: initialise
output: xml_dict_size
target: parse
output: lookup_symbol
target: set_size
output: png_set_read_status_function
target: set_delimiter
output: png_get_row_bytes
target: set_free_function
output: png_set
target: set
output: xml_list_insert
target: set_quote
output: png_set
target: set_realloc_function
output: png_set_read_status_function
target: set_space_function
output: png_set_read_status_function
target: set_term_function
output: png_set_write_status_function
target: string_error
output: gr_ec_value_type_string
target: write
output: png_safe_at
target: write_2
output: xml_parser_find_node_information_index
target: current_time_spec
output: current_time_spec
target: de_register_tm_clones
output: zn_7_adapter_12_character_is_ei
target: fd_time_ns
output: fd_time_ns
target: field_callback
output: bc_number_subtract
target: read_file
output: read_file
target: 
output: 
target: full_write
output: full_write
target: get_quoting_style
output: get_quoting_style
target: get_text_quote
output: zn_7_adapter_12_character_is_ei
target: get_time
output: get_time
target: hard_locale
output: hard_locale
target: is_space
output: file_reader_addition_file
target: is_term
output: bc_number_subtract
target: locale_charset
output: locale_charset
target: time_ns
output: time_ns
target: main
output: zn_7_adapter_12_character_is_ei
target: path_search
output: path_search
target: print_fetch_argument
output: print_fetch_argument
target: print_parse
output: print_parse
target: process
output: hash_tab_create
target: copy_file
output: file_reader_addition_file
target: quote
output: get_time
target: quote_memory
output: xn_malloc
target: quote
output: sodium_memory_zero
target: quote_memory
output: zn_7_adapter_12_engine_close_epns_8_engine
target: quote_argument
output: get_time
target: quote_argument_alloc
output: mp_mod
target: quote_argument_alloc_memory
output: quote_argument_alloc_memory
target: quote_argument_buffer
output: quote_argument_buffer
target: quote_argument_buffer_restyled
output: deflate
target: quote_argument_buffer_restyled
output: quote_argument_custom_memory
target: quote_argument_character
output: quote_argument_character
target: quote_argument_character_memory
output: quote_argument_character_memory
target: quote_argument_colon
output: quote_argument_colon
target: quote_argument_colon_memory
output: io_poll
target: quote_argument_custom
output: rpl_mb_length
target: quote_argument_custom_memory
output: curl_base_64_encode
target: quote_argument_free
output: quote_argument_free
target: quote_argument_memory
output: xn_malloc
target: quote_argument
output: quote
target: quote_argument_custom
output: sodium_memory_zero
target: quote_argument_custom_memory
output: quote_argument_custom_memory
target: quote_argument_memory
output: quote_argument_memory
target: quote_argument_options
output: quote_argument_options
target: quote_argument_options
output: zn_7_adapter_12_character_is_ei
target: quote_argument_style
output: quote_argument_style
target: quote_argument_style
output: quote_argument_custom_memory
target: quote_argument_style_colon
output: quote_argument_style_colon
target: quote_argument_style_colon
output: quote_argument_custom_memory
target: quote_argument_style_memory
output: quote_argument_style_memory
target: quote_argument_style_memory
output: zn_7_adapter_12_character_is_ei
target: quote_argument_style
output: target_file_error
target: quote_argument_style_memory
output: quote_argument_style_memory
target: read_file
output: read_file
target: read_line
output: get_command_suffix
target: record_callback
output: free_function
target: ec_build_database
output: deflate_initialise_2
target: ec_check
output: zn_7_adapter_12_character_is_ei
target: ec_error
output: zn_7_adapter_12_character_is_ei
target: ec_fatal
output: zn_7_adapter_12_character_is_ei
target: ec_file_is
output: bc_number_subtract
target: ec_get_pass
output: zn_7_adapter_12_character_is_ei
target: ec_index
output: zn_7_adapter_12_character_is_ei
target: ec_index_list_parse
output: bc_number_subtract
target: ec_initialise
output: zn_7_adapter_12_character_is_ei
target: ec
output: zn_7_adapter_12_character_is_ei
target: ec_number
output: zn_7_adapter_12_character_is_ei
target: ec_out_of_memory
output: zn_7_adapter_12_character_is_ei
target: ec_parse_database_from_file
output: hash_rehash
target: ec_print_help
output: zn_7_adapter_12_character_is_ei
target: ec_print_help_common
output: zn_7_adapter_12_character_is_ei
target: ec_print_help
output: zn_7_adapter_12_character_is_ei
target: ec_print_help_record
output: bc_number_subtract
target: ec_print_version
output: zn_7_adapter_12_character_is_ei
target: ec_read_database_from_file
output: fd
target: ec_read_file
output: zn_7_adapter_12_character_is_ei
target: ec_reset
output: zn_7_adapter_12_character_is_ei
target: ec_warning
output: hash_tab_create
target: ec_write_database_to_file
output: bc_number_subtract
target: ec
output: bc_number_subtract
target: register_tm_clones
output: zn_7_adapter_12_character_is_file_ei
target: rpl_print
output: rpl_print
target: rpl_mb_tow
output: rpl_mb_tow
target: rpl_print
output: rpl_print
target: rpl_vf_print
output: rpl_vf_print
target: safe_read
output: safe_read
target: safe_write
output: safe_write
target: set_character_quoting
output: set_character_quoting
target: set_custom_quoting
output: set_custom_quoting
target: set_custom_quoting
output: free
target: set_program_name
output: bc_number_subtract
target: set_quoting_flags
output: set_quoting_flags
target: set_quoting_style
output: set_quoting_style
target: set_locale_null
output: malloc_real_path
target: set_locale_null
output: set_locale_null
target: update_time_spec
output: update_time_spec
target: time_ns
output: time_ns
target: validate_time_spec
output: validate_time_spec
target: asn_print
output: asn_print
target: 2_realloc
output: 2_realloc
target: 2_realloc
output: information_node_of_tag_fast
target: alloc_die
output: alloc_die
target: xc_alloc
output: malloc
target: xic_alloc
output: malloc
target: xi_malloc
output: malloc
target: xi_memory_duplicate
output: memory_duplicate
target: xi_memory_duplicate_0
output: xi_memory_duplicate_0
target: xin_malloc
output: xn_malloc
target: xi_realloc
output: xi_realloc
target: xi_realloc_array
output: xi_realloc_array
target: xiz_alloc
output: file_name_max
target: malloc
output: malloc
target: memory_duplicate
output: memory_duplicate
target: xn_malloc
output: xn_malloc
target: xp_alloc
output: xp_alloc
target: realloc
output: realloc
target: realloc_array
output: realloc_array
target: string_duplicate
output: string_duplicate
target: zip_alloc
output: file_name_max
target: do_global_auxiliary
output: zn_7_adapter_12_character_is_ei
target: dl_relocate_static
output: zn_7_adapter_12_character_is_file_ei
target: finalise
output: curl_easy_set_option_error_debug_callback
target: initialise
output: deflate
target: start
output: zn_7_adapter_12_character_is_ei
target: at_exit
output: at_exit
target: clone_quoting_options
output: clone_quoting_options
target: close_standard_out
output: hash_tab_create
target: close_standard_out_set_file_name
output: zn_7_adapter_12_character_is_ei
target: close_standard_out_set_ignore_pipe
output: zn_7_adapter_12_character_is_ei
target: close_stream
output: close_stream
target: copy_file
output: hash_tab_create
target: copy_file
output: quote_argument_custom_memory
target: error
output: get_index
target: finalise
output: zn_12_special_node_8_addition_ep_4_node
target: free
output: xml_clear_node_information_sequence
target: write
output: xml_buffer_write_quoted_string
target: write_2
output: xml_path_parse_name
target: get_buffer_size
output: gr_ec_list_size
target: get_delimiter
output: dfa_is_fast
target: get
output: xml_copy_name_space
target: get_quote
output: sq_lite_3_value_type
target: initialise
output: xml_dict_size
target: parse
output: sq_lite_3_index
target: set_size
output: png_set_read_status_function
target: set_delimiter
output: png_get_row_bytes
target: set_free_function
output: png_set
target: set
output: xml_list_insert
target: set_quote
output: png_set
target: set_realloc_function
output: png_set_read_status_function
target: set_space_function
output: png_set_read_status_function
target: set_term_function
output: png_set_write_status_function
target: string_error
output: gr_ec_value_type_string
target: write
output: png_safe_at
target: write_2
output: xml_parser_find_node_information_index
target: current_time_spec
output: current_time_spec
target: de_register_tm_clones
output: zn_7_adapter_12_character_is_file_ei
target: fd_time_ns
output: fd_time_ns
target: field_callback
output: bc_number_subtract
target: read_file
output: read_file
target: 
output: 
target: full_write
output: full_write
target: get_quoting_style
output: get_quoting_style
target: get_text_quote
output: zn_7_adapter_12_character_is_ei
target: get_time
output: get_time
target: hard_locale
output: hard_locale
target: is_space
output: file_reader_addition_file
target: is_term
output: bc_number_subtract
target: locale_charset
output: locale_charset
target: time_ns
output: time_ns
target: main
output: zn_7_adapter_12_character_is_ei
target: path_search
output: path_search
target: print_fetch_argument
output: print_fetch_argument
target: print_parse
output: print_parse
target: process
output: hash_tab_create
target: copy_file
output: file_reader_addition_file
target: quote
output: get_time
target: quote_memory
output: xn_malloc
target: quote
output: sodium_memory_zero
target: quote_memory
output: quote_argument_memory
target: quote_memory
output: zn_7_adapter_12_character_is_ei
target: quote_argument
output: get_time
target: quote_argument_alloc
output: mp_mod
target: quote_argument_alloc_memory
output: quote_argument_alloc_memory
target: quote_argument_buffer
output: quote_argument_buffer
target: quote_argument_buffer_restyled
output: deflate
target: quote_argument_buffer_restyled
output: quote_argument_custom_memory
target: quote_argument_character
output: quote_argument_character
target: quote_argument_character_memory
output: quote_argument_colon_memory
target: quote_argument_colon
output: quote_argument_colon
target: quote_argument_colon_memory
output: io_poll
target: quote_argument_custom
output: rpl_mb_length
target: quote_argument_custom_memory
output: curl_base_64_encode
target: quote_argument_free
output: quote_argument_free
target: quote_argument_memory
output: xn_malloc
target: quote_argument
output: quote_argument
target: quote_argument
output: quote_argument_custom_memory
target: quote_argument_custom
output: sodium_memory_zero
target: quote_argument_custom_memory
output: quote_argument_custom_memory
target: quote_argument_memory
output: quote_memory
target: quote_argument_memory
output: zn_7_adapter_12_character_is_ei
target: quote_argument_options
output: quote_argument_options
target: quote_argument_options
output: zn_7_adapter_12_character_is_ei
target: quote_argument_style
output: quote_argument_style
target: quote_argument_style
output: quote_argument_custom_memory
target: quote_argument_style_colon
output: quote_argument_style_colon
target: quote_argument_style_colon
output: quote_argument_custom_memory
target: quote_argument_style_memory
output: quote_argument_style_memory
target: quote_argument_style_memory
output: zn_7_adapter_12_character_is_ei
target: quote_argument_style
output: target_file_error
target: quote_argument_style_memory
output: ctf_create
target: read_file
output: read_file
target: read_line
output: get_command_suffix
target: record_callback
output: free_function
target: ec_build_database
output: deflate_initialise_2
target: ec_check
output: zn_7_adapter_12_character_is_ei
target: ec_error
output: zn_7_adapter_12_character_is_ei
target: ec_fatal
output: zn_7_adapter_12_character_is_ei
target: ec_file_is
output: bc_number_subtract
target: ec_get_pass
output: zn_7_adapter_12_character_is_ei
target: ec_index
output: zn_7_adapter_12_character_is_ei
target: ec_index_list_parse
output: bc_number_subtract
target: ec_initialise
output: zn_7_adapter_12_character_is_ei
target: ec
output: zn_7_adapter_12_character_is_ei
target: ec_number
output: zn_7_adapter_12_character_is_file_ei
target: ec_out_of_memory
output: zn_7_adapter_12_character_is_ei
target: ec_parse_database_from_file
output: hash_rehash
target: ec_print_help
output: zn_7_adapter_12_character_is_ei
target: ec_print_help_common
output: zn_7_adapter_12_character_is_ei
target: ec_print_help
output: zn_7_adapter_12_character_is_file_ei
target: ec_print_help_record
