package	n_ids	n_tools	opts	pairs_audited	dup_pairs	corpora	n_eligible_v2	ids
coreutils	540	132	O0,O1,O2,O3,default	210	6	clang_train,local_main,wulver	534	coreutils_[_clang_O0;coreutils_[_clang_O1;coreutils_[_clang_O2;coreutils_[_clang_O3;coreutils_b2sum_clang_O0;coreutils_b2sum_clang_O1;coreutils_b2sum_clang_O2;coreutils_b2sum_clang_O3;coreutils_base32_clang_O0;coreutils_base32_clang_O1;coreutils_base32_clang_O2;coreutils_base32_clang_O3;coreutils_base64;coreutils_base64_clang_O0;coreutils_base64_clang_O1;coreutils_base64_clang_O2;coreutils_base64_clang_O3;coreutils_basename_clang_O0;coreutils_basename_clang_O1;coreutils_basename_clang_O2;coreutils_basename_clang_O3;coreutils_basenc_clang_O0;coreutils_basenc_clang_O1;coreutils_basenc_clang_O2;coreutils_basenc_clang_O3;coreutils_cat;coreutils_cat_O0;coreutils_cat_O1;coreutils_cat_O2;coreutils_cat_O3;coreutils_cat_clang_O0;coreutils_cat_clang_O1;coreutils_cat_clang_O2;coreutils_cat_clang_O3;coreutils_chcon_clang_O0;coreutils_chcon_clang_O1;coreutils_chcon_clang_O2;coreutils_chcon_clang_O3;coreutils_chgrp_clang_O0;coreutils_chgrp_clang_O1;coreutils_chgrp_clang_O2;coreutils_chgrp_clang_O3;coreutils_chmod;coreutils_chmod_O0;coreutils_chmod_O1;coreutils_chmod_O2;coreutils_chmod_O3;coreutils_chmod_clang_O0;coreutils_chmod_clang_O1;coreutils_chmod_clang_O2;coreutils_chmod_clang_O3;coreutils_chown;coreutils_chown_O0;coreutils_chown_O1;coreutils_chown_O2;coreutils_chown_O3;coreutils_chown_clang_O0;coreutils_chown_clang_O1;coreutils_chown_clang_O2;coreutils_chown_clang_O3;coreutils_chroot_clang_O0;coreutils_chroot_clang_O1;coreutils_chroot_clang_O2;coreutils_chroot_clang_O3;coreutils_cksum_clang_O0;coreutils_cksum_clang_O1;coreutils_cksum_clang_O2;coreutils_cksum_clang_O3;coreutils_comm_clang_O0;coreutils_comm_clang_O1;coreutils_comm_clang_O2;coreutils_comm_clang_O3;coreutils_cp;coreutils_cp_O0;coreutils_cp_O1;coreutils_cp_O2;coreutils_cp_O3;coreutils_cp_clang_O0;coreutils_cp_clang_O1;coreutils_cp_clang_O2;coreutils_cp_clang_O3;coreutils_csplit_clang_O0;coreutils_csplit_clang_O1;coreutils_csplit_clang_O2;coreutils_csplit_clang_O3;coreutils_cut;coreutils_cut_O0;coreutils_cut_O1;coreutils_cut_O2;coreutils_cut_O3;coreutils_cut_clang_O0;coreutils_cut_clang_O1;coreutils_cut_clang_O2;coreutils_cut_clang_O3;coreutils_date_clang_O0;coreutils_date_clang_O1;coreutils_date_clang_O2;coreutils_date_clang_O3;coreutils_dd_clang_O0;coreutils_dd_clang_O1;coreutils_dd_clang_O2;coreutils_dd_clang_O3;coreutils_df_clang_O0;coreutils_df_clang_O1;coreutils_df_clang_O2;coreutils_df_clang_O3;coreutils_dir_clang_O0;coreutils_dir_clang_O1;coreutils_dir_clang_O2;coreutils_dir_clang_O3;coreutils_dircolors_clang_O0;coreutils_dircolors_clang_O1;coreutils_dircolors_clang_O2;coreutils_dircolors_clang_O3;coreutils_dirname_clang_O0;coreutils_dirname_clang_O1;coreutils_dirname_clang_O2;coreutils_dirname_clang_O3;coreutils_du_clang_O0;coreutils_du_clang_O1;coreutils_du_clang_O2;coreutils_du_clang_O3;coreutils_echo_clang_O0;coreutils_echo_clang_O1;coreutils_echo_clang_O2;coreutils_echo_clang_O3;coreutils_env_clang_O0;coreutils_env_clang_O1;coreutils_env_clang_O2;coreutils_env_clang_O3;coreutils_expand_clang_O0;coreutils_expand_clang_O1;coreutils_expand_clang_O2;coreutils_expand_clang_O3;coreutils_expr_clang_O0;coreutils_expr_clang_O1;coreutils_expr_clang_O2;coreutils_expr_clang_O3;coreutils_factor_clang_O0;coreutils_factor_clang_O1;coreutils_factor_clang_O2;coreutils_factor_clang_O3;coreutils_false_clang_O0;coreutils_false_clang_O1;coreutils_false_clang_O2;coreutils_false_clang_O3;coreutils_fmt;coreutils_fmt_O0;coreutils_fmt_O1;coreutils_fmt_O2;coreutils_fmt_O3;coreutils_fmt_clang_O0;coreutils_fmt_clang_O1;coreutils_fmt_clang_O2;coreutils_fmt_clang_O3;coreutils_fold_clang_O0;coreutils_fold_clang_O1;coreutils_fold_clang_O2;coreutils_fold_clang_O3;coreutils_getlimits_clang_O0;coreutils_getlimits_clang_O1;coreutils_getlimits_clang_O2;coreutils_getlimits_clang_O3;coreutils_ginstall_clang_O0;coreutils_ginstall_clang_O1;coreutils_ginstall_clang_O2;coreutils_ginstall_clang_O3;coreutils_groups_clang_O0;coreutils_groups_clang_O1;coreutils_groups_clang_O2;coreutils_groups_clang_O3;coreutils_head;coreutils_head_O0;coreutils_head_O1;coreutils_head_O2;coreutils_head_O3;coreutils_head_clang_O0;coreutils_head_clang_O1;coreutils_head_clang_O2;coreutils_head_clang_O3;coreutils_hostid_clang_O0;coreutils_hostid_clang_O1;coreutils_hostid_clang_O2;coreutils_hostid_clang_O3;coreutils_id_clang_O0;coreutils_id_clang_O1;coreutils_id_clang_O2;coreutils_id_clang_O3;coreutils_join;coreutils_join_O0;coreutils_join_O1;coreutils_join_O2;coreutils_join_O3;coreutils_join_clang_O0;coreutils_join_clang_O1;coreutils_join_clang_O2;coreutils_join_clang_O3;coreutils_kill_clang_O0;coreutils_kill_clang_O1;coreutils_kill_clang_O2;coreutils_kill_clang_O3;coreutils_link_clang_O0;coreutils_link_clang_O1;coreutils_link_clang_O2;coreutils_link_clang_O3;coreutils_ln_clang_O0;coreutils_ln_clang_O1;coreutils_ln_clang_O2;coreutils_ln_clang_O3;coreutils_logname_clang_O0;coreutils_logname_clang_O1;coreutils_logname_clang_O2;coreutils_logname_clang_O3;coreutils_ls;coreutils_ls_O0;coreutils_ls_O1;coreutils_ls_O2;coreutils_ls_O3;coreutils_ls_clang_O0;coreutils_ls_clang_O1;coreutils_ls_clang_O2;coreutils_ls_clang_O3;coreutils_make-prime-list_clang_O0;coreutils_make-prime-list_clang_O1;coreutils_make-prime-list_clang_O2;coreutils_make-prime-list_clang_O3;coreutils_md5sum;coreutils_md5sum_clang_O0;coreutils_md5sum_clang_O1;coreutils_md5sum_clang_O2;coreutils_md5sum_clang_O3;coreutils_mkdir_clang_O0;coreutils_mkdir_clang_O1;coreutils_mkdir_clang_O2;coreutils_mkdir_clang_O3;coreutils_mkfifo_clang_O0;coreutils_mkfifo_clang_O1;coreutils_mkfifo_clang_O2;coreutils_mkfifo_clang_O3;coreutils_mknod_clang_O0;coreutils_mknod_clang_O1;coreutils_mknod_clang_O2;coreutils_mknod_clang_O3;coreutils_mktemp_clang_O0;coreutils_mktemp_clang_O1;coreutils_mktemp_clang_O2;coreutils_mktemp_clang_O3;coreutils_mv;coreutils_mv_O0;coreutils_mv_O1;coreutils_mv_O2;coreutils_mv_O3;coreutils_mv_clang_O0;coreutils_mv_clang_O1;coreutils_mv_clang_O2;coreutils_mv_clang_O3;coreutils_nice_clang_O0;coreutils_nice_clang_O1;coreutils_nice_clang_O2;coreutils_nice_clang_O3;coreutils_nl;coreutils_nl_O0;coreutils_nl_O1;coreutils_nl_O2;coreutils_nl_O3;coreutils_nl_clang_O0;coreutils_nl_clang_O1;coreutils_nl_clang_O2;coreutils_nl_clang_O3;coreutils_nohup_clang_O0;coreutils_nohup_clang_O1;coreutils_nohup_clang_O2;coreutils_nohup_clang_O3;coreutils_nproc_clang_O0;coreutils_nproc_clang_O1;coreutils_nproc_clang_O2;coreutils_nproc_clang_O3;coreutils_numfmt_clang_O0;coreutils_numfmt_clang_O1;coreutils_numfmt_clang_O2;coreutils_numfmt_clang_O3;coreutils_od;coreutils_od_O0;coreutils_od_O1;coreutils_od_O2;coreutils_od_O3;coreutils_od_clang_O0;coreutils_od_clang_O1;coreutils_od_clang_O2;coreutils_od_clang_O3;coreutils_paste;coreutils_paste_O0;coreutils_paste_O1;coreutils_paste_O2;coreutils_paste_O3;coreutils_paste_clang_O0;coreutils_paste_clang_O1;coreutils_paste_clang_O2;coreutils_paste_clang_O3;coreutils_pathchk_clang_O0;coreutils_pathchk_clang_O1;coreutils_pathchk_clang_O2;coreutils_pathchk_clang_O3;coreutils_pinky_clang_O0;coreutils_pinky_clang_O1;coreutils_pinky_clang_O2;coreutils_pinky_clang_O3;coreutils_pr_clang_O0;coreutils_pr_clang_O1;coreutils_pr_clang_O2;coreutils_pr_clang_O3;coreutils_printenv_clang_O0;coreutils_printenv_clang_O1;coreutils_printenv_clang_O2;coreutils_printenv_clang_O3;coreutils_printf_clang_O0;coreutils_printf_clang_O1;coreutils_printf_clang_O2;coreutils_printf_clang_O3;coreutils_ptx;coreutils_ptx_O0;coreutils_ptx_O1;coreutils_ptx_O2;coreutils_ptx_O3;coreutils_ptx_clang_O0;coreutils_ptx_clang_O1;coreutils_ptx_clang_O2;coreutils_ptx_clang_O3;coreutils_pwd_clang_O0;coreutils_pwd_clang_O1;coreutils_pwd_clang_O2;coreutils_pwd_clang_O3;coreutils_readlink_clang_O0;coreutils_readlink_clang_O1;coreutils_readlink_clang_O2;coreutils_readlink_clang_O3;coreutils_realpath_clang_O0;coreutils_realpath_clang_O1;coreutils_realpath_clang_O2;coreutils_realpath_clang_O3;coreutils_rm;coreutils_rm_O0;coreutils_rm_O1;coreutils_rm_O2;coreutils_rm_O3;coreutils_rm_clang_O0;coreutils_rm_clang_O1;coreutils_rm_clang_O2;coreutils_rm_clang_O3;coreutils_rmdir_clang_O0;coreutils_rmdir_clang_O1;coreutils_rmdir_clang_O2;coreutils_rmdir_clang_O3;coreutils_runcon_clang_O0;coreutils_runcon_clang_O1;coreutils_runcon_clang_O2;coreutils_runcon_clang_O3;coreutils_seq_clang_O0;coreutils_seq_clang_O1;coreutils_seq_clang_O2;coreutils_seq_clang_O3;coreutils_sha1sum_clang_O0;coreutils_sha1sum_clang_O1;coreutils_sha1sum_clang_O2;coreutils_sha1sum_clang_O3;coreutils_sha224sum_clang_O0;coreutils_sha224sum_clang_O1;coreutils_sha224sum_clang_O2;coreutils_sha224sum_clang_O3;coreutils_sha256sum;coreutils_sha256sum_clang_O0;coreutils_sha256sum_clang_O1;coreutils_sha256sum_clang_O2;coreutils_sha256sum_clang_O3;coreutils_sha384sum_clang_O0;coreutils_sha384sum_clang_O1;coreutils_sha384sum_clang_O2;coreutils_sha384sum_clang_O3;coreutils_sha512sum_clang_O0;coreutils_sha512sum_clang_O1;coreutils_sha512sum_clang_O2;coreutils_sha512sum_clang_O3;coreutils_shred_clang_O0;coreutils_shred_clang_O1;coreutils_shred_clang_O2;coreutils_shred_clang_O3;coreutils_shuf_clang_O0;coreutils_shuf_clang_O1;coreutils_shuf_clang_O2;coreutils_shuf_clang_O3;coreutils_sleep_clang_O0;coreutils_sleep_clang_O1;coreutils_sleep_clang_O2;coreutils_sleep_clang_O3;coreutils_sort;coreutils_sort_O0;coreutils_sort_O1;coreutils_sort_O2;coreutils_sort_O3;coreutils_sort_clang_O0;coreutils_sort_clang_O1;coreutils_sort_clang_O2;coreutils_sort_clang_O3;coreutils_split_clang_O0;coreutils_split_clang_O1;coreutils_split_clang_O2;coreutils_split_clang_O3;coreutils_stat_clang_O0;coreutils_stat_clang_O1;coreutils_stat_clang_O2;coreutils_stat_clang_O3;coreutils_stdbuf_clang_O0;coreutils_stdbuf_clang_O1;coreutils_stdbuf_clang_O2;coreutils_stdbuf_clang_O3;coreutils_stty_clang_O0;coreutils_stty_clang_O1;coreutils_stty_clang_O2;coreutils_stty_clang_O3;coreutils_sum_clang_O0;coreutils_sum_clang_O1;coreutils_sum_clang_O2;coreutils_sum_clang_O3;coreutils_sync_clang_O0;coreutils_sync_clang_O1;coreutils_sync_clang_O2;coreutils_sync_clang_O3;coreutils_tac_clang_O0;coreutils_tac_clang_O1;coreutils_tac_clang_O2;coreutils_tac_clang_O3;coreutils_tail;coreutils_tail_O0;coreutils_tail_O1;coreutils_tail_O2;coreutils_tail_O3;coreutils_tail_clang_O0;coreutils_tail_clang_O1;coreutils_tail_clang_O2;coreutils_tail_clang_O3;coreutils_tee_clang_O0;coreutils_tee_clang_O1;coreutils_tee_clang_O2;coreutils_tee_clang_O3;coreutils_test_clang_O0;coreutils_test_clang_O1;coreutils_test_clang_O2;coreutils_test_clang_O3;coreutils_timeout_clang_O0;coreutils_timeout_clang_O1;coreutils_timeout_clang_O2;coreutils_timeout_clang_O3;coreutils_touch_clang_O0;coreutils_touch_clang_O1;coreutils_touch_clang_O2;coreutils_touch_clang_O3;coreutils_tr;coreutils_tr_O0;coreutils_tr_O1;coreutils_tr_O2;coreutils_tr_O3;coreutils_tr_clang_O0;coreutils_tr_clang_O1;coreutils_tr_clang_O2;coreutils_tr_clang_O3;coreutils_true_clang_O0;coreutils_true_clang_O1;coreutils_true_clang_O2;coreutils_true_clang_O3;coreutils_truncate_clang_O0;coreutils_truncate_clang_O1;coreutils_truncate_clang_O2;coreutils_truncate_clang_O3;coreutils_tsort;coreutils_tsort_O0;coreutils_tsort_O1;coreutils_tsort_O2;coreutils_tsort_O3;coreutils_tsort_clang_O0;coreutils_tsort_clang_O1;coreutils_tsort_clang_O2;coreutils_tsort_clang_O3;coreutils_tty_clang_O0;coreutils_tty_clang_O1;coreutils_tty_clang_O2;coreutils_tty_clang_O3;coreutils_uname_clang_O0;coreutils_uname_clang_O1;coreutils_uname_clang_O2;coreutils_uname_clang_O3;coreutils_unexpand_clang_O0;coreutils_unexpand_clang_O1;coreutils_unexpand_clang_O2;coreutils_unexpand_clang_O3;coreutils_uniq;coreutils_uniq_O0;coreutils_uniq_O1;coreutils_uniq_O2;coreutils_uniq_O3;coreutils_uniq_clang_O0;coreutils_uniq_clang_O1;coreutils_uniq_clang_O2;coreutils_uniq_clang_O3;coreutils_unlink_clang_O0;coreutils_unlink_clang_O1;coreutils_unlink_clang_O2;coreutils_unlink_clang_O3;coreutils_uptime_clang_O0;coreutils_uptime_clang_O1;coreutils_uptime_clang_O2;coreutils_uptime_clang_O3;coreutils_users_clang_O0;coreutils_users_clang_O1;coreutils_users_clang_O2;coreutils_users_clang_O3;coreutils_vdir_clang_O0;coreutils_vdir_clang_O1;coreutils_vdir_clang_O2;coreutils_vdir_clang_O3;coreutils_wc;coreutils_wc_O0;coreutils_wc_O1;coreutils_wc_O2;coreutils_wc_O3;coreutils_wc_clang_O0;coreutils_wc_clang_O1;coreutils_wc_clang_O2;coreutils_wc_clang_O3;coreutils_who_clang_O0;coreutils_who_clang_O1;coreutils_who_clang_O2;coreutils_who_clang_O3;coreutils_whoami_clang_O0;coreutils_whoami_clang_O1;coreutils_whoami_clang_O2;coreutils_whoami_clang_O3;coreutils_yes_clang_O0;coreutils_yes_clang_O1;coreutils_yes_clang_O2;coreutils_yes_clang_O3
coreutils2	45	9	O0,O1,O2,O3,default	90	4	local_main,wulver	41	coreutils2_dd;coreutils2_dd_O0;coreutils2_dd_O1;coreutils2_dd_O2;coreutils2_dd_O3;coreutils2_df;coreutils2_df_O0;coreutils2_df_O1;coreutils2_df_O2;coreutils2_df_O3;coreutils2_du;coreutils2_du_O0;coreutils2_du_O1;coreutils2_du_O2;coreutils2_du_O3;coreutils2_ls;coreutils2_ls_O0;coreutils2_ls_O1;coreutils2_ls_O2;coreutils2_ls_O3;coreutils2_mktemp;coreutils2_mktemp_O0;coreutils2_mktemp_O1;coreutils2_mktemp_O2;coreutils2_mktemp_O3;coreutils2_realpath;coreutils2_realpath_O0;coreutils2_realpath_O1;coreutils2_realpath_O2;coreutils2_realpath_O3;coreutils2_shred;coreutils2_shred_O0;coreutils2_shred_O1;coreutils2_shred_O2;coreutils2_shred_O3;coreutils2_sort;coreutils2_sort_O0;coreutils2_sort_O1;coreutils2_sort_O2;coreutils2_sort_O3;coreutils2_stty;coreutils2_stty_O0;coreutils2_stty_O1;coreutils2_stty_O2;coreutils2_stty_O3
coreutils3	68	17	O0,O1,O2,O3	102	0	local_main,wulver	68	coreutils3_comm_O0;coreutils3_comm_O1;coreutils3_comm_O2;coreutils3_comm_O3;coreutils3_dirname_O0;coreutils3_dirname_O1;coreutils3_dirname_O2;coreutils3_dirname_O3;coreutils3_env_O0;coreutils3_env_O1;coreutils3_env_O2;coreutils3_env_O3;coreutils3_expand_O0;coreutils3_expand_O1;coreutils3_expand_O2;coreutils3_expand_O3;coreutils3_expr_O0;coreutils3_expr_O1;coreutils3_expr_O2;coreutils3_expr_O3;coreutils3_fold_O0;coreutils3_fold_O1;coreutils3_fold_O2;coreutils3_fold_O3;coreutils3_id_O0;coreutils3_id_O1;coreutils3_id_O2;coreutils3_id_O3;coreutils3_link_O0;coreutils3_link_O1;coreutils3_link_O2;coreutils3_link_O3;coreutils3_ln_O0;coreutils3_ln_O1;coreutils3_ln_O2;coreutils3_ln_O3;coreutils3_mkdir_O0;coreutils3_mkdir_O1;coreutils3_mkdir_O2;coreutils3_mkdir_O3;coreutils3_nproc_O0;coreutils3_nproc_O1;coreutils3_nproc_O2;coreutils3_nproc_O3;coreutils3_seq_O0;coreutils3_seq_O1;coreutils3_seq_O2;coreutils3_seq_O3;coreutils3_split_O0;coreutils3_split_O1;coreutils3_split_O2;coreutils3_split_O3;coreutils3_stat_O0;coreutils3_stat_O1;coreutils3_stat_O2;coreutils3_stat_O3;coreutils3_tee_O0;coreutils3_tee_O1;coreutils3_tee_O2;coreutils3_tee_O3;coreutils3_touch_O0;coreutils3_touch_O1;coreutils3_touch_O2;coreutils3_touch_O3;coreutils3_yes_O0;coreutils3_yes_O1;coreutils3_yes_O2;coreutils3_yes_O3
coreutils4	124	31	O0,O1,O2,O3	186	0	local_main,wulver	124	coreutils4_basename_O0;coreutils4_basename_O1;coreutils4_basename_O2;coreutils4_basename_O3;coreutils4_date_O0;coreutils4_date_O1;coreutils4_date_O2;coreutils4_date_O3;coreutils4_echo_O0;coreutils4_echo_O1;coreutils4_echo_O2;coreutils4_echo_O3;coreutils4_factor_O0;coreutils4_factor_O1;coreutils4_factor_O2;coreutils4_factor_O3;coreutils4_groups_O0;coreutils4_groups_O1;coreutils4_groups_O2;coreutils4_groups_O3;coreutils4_hostid_O0;coreutils4_hostid_O1;coreutils4_hostid_O2;coreutils4_hostid_O3;coreutils4_logname_O0;coreutils4_logname_O1;coreutils4_logname_O2;coreutils4_logname_O3;coreutils4_mkfifo_O0;coreutils4_mkfifo_O1;coreutils4_mkfifo_O2;coreutils4_mkfifo_O3;coreutils4_numfmt_O0;coreutils4_numfmt_O1;coreutils4_numfmt_O2;coreutils4_numfmt_O3;coreutils4_pr_O0;coreutils4_pr_O1;coreutils4_pr_O2;coreutils4_pr_O3;coreutils4_printenv_O0;coreutils4_printenv_O1;coreutils4_printenv_O2;coreutils4_printenv_O3;coreutils4_printf_O0;coreutils4_printf_O1;coreutils4_printf_O2;coreutils4_printf_O3;coreutils4_pwd_O0;coreutils4_pwd_O1;coreutils4_pwd_O2;coreutils4_pwd_O3;coreutils4_readlink_O0;coreutils4_readlink_O1;coreutils4_readlink_O2;coreutils4_readlink_O3;coreutils4_rmdir_O0;coreutils4_rmdir_O1;coreutils4_rmdir_O2;coreutils4_rmdir_O3;coreutils4_sha1sum_O0;coreutils4_sha1sum_O1;coreutils4_sha1sum_O2;coreutils4_sha1sum_O3;coreutils4_sha512sum_O0;coreutils4_sha512sum_O1;coreutils4_sha512sum_O2;coreutils4_sha512sum_O3;coreutils4_shuf_O0;coreutils4_shuf_O1;coreutils4_shuf_O2;coreutils4_shuf_O3;coreutils4_sleep_O0;coreutils4_sleep_O1;coreutils4_sleep_O2;coreutils4_sleep_O3;coreutils4_sum_O0;coreutils4_sum_O1;coreutils4_sum_O2;coreutils4_sum_O3;coreutils4_tac_O0;coreutils4_tac_O1;coreutils4_tac_O2;coreutils4_tac_O3;coreutils4_timeout_O0;coreutils4_timeout_O1;coreutils4_timeout_O2;coreutils4_timeout_O3;coreutils4_truncate_O0;coreutils4_truncate_O1;coreutils4_truncate_O2;coreutils4_truncate_O3;coreutils4_tty_O0;coreutils4_tty_O1;coreutils4_tty_O2;coreutils4_tty_O3;coreutils4_uname_O0;coreutils4_uname_O1;coreutils4_uname_O2;coreutils4_uname_O3;coreutils4_unexpand_O0;coreutils4_unexpand_O1;coreutils4_unexpand_O2;coreutils4_unexpand_O3;coreutils4_unlink_O0;coreutils4_unlink_O1;coreutils4_unlink_O2;coreutils4_unlink_O3;coreutils4_uptime_O0;coreutils4_uptime_O1;coreutils4_uptime_O2;coreutils4_uptime_O3;coreutils4_users_O0;coreutils4_users_O1;coreutils4_users_O2;coreutils4_users_O3;coreutils4_who_O0;coreutils4_who_O1;coreutils4_who_O2;coreutils4_who_O3;coreutils4_whoami_O0;coreutils4_whoami_O1;coreutils4_whoami_O2;coreutils4_whoami_O3
cpio	5	1	O0,O1,O2,O3,default	10	1	local_main,wulver	4	cpio_cpio;cpio_cpio_O0;cpio_cpio_O1;cpio_cpio_O2;cpio_cpio_O3
cppi	4	1	O0,O1,O2,O3	6	0	local_main,wulver	4	cppi_cppi_O0;cppi_cppi_O1;cppi_cppi_O2;cppi_cppi_O3
csplit2	4	1	O0,O1,O2,O3	6	0	local_main,wulver	4	csplit2_cflow_O0;csplit2_cflow_O1;csplit2_cflow_O2;csplit2_cflow_O3
curl	4	1	O0,O1,O2,O3	6	0	local_main,wulver	4	curl_curl_O0;curl_curl_O1;curl_curl_O2;curl_curl_O3
cvs	4	1	O0,O1,O2,O3	0	0	local_main,wulver	0	cvs_cvs_O0;cvs_cvs_O1;cvs_cvs_O2;cvs_cvs_O3
dash	8	2	O0,O1,O2,O3	6	0	clang_o1o3,local_main,local_main:cross_project,wulver	4	dash_dash_O0;dash_dash_O1;dash_dash_O2;dash_dash_O3;dash_dash_clang_O0;dash_dash_clang_O1;dash_dash_clang_O2;dash_dash_clang_O3
datamash	8	2	O0,O1,O2,O3	6	3	clang_train,local_main,wulver	6	datamash_datamash_O0;datamash_datamash_O1;datamash_datamash_O2;datamash_datamash_O3;datamash_datamash_clang_O0;datamash_datamash_clang_O1;datamash_datamash_clang_O2;datamash_datamash_clang_O3
dico	2	1	O0,O2	0	0	local_main,wulver	0	dico_dico_O0;dico_dico_O2
